Data,dolar
16/07/2009,1.9340
17/07/2009,1.9290
20/07/2009,1.9068
21/07/2009,1.9043
22/07/2009,1.9029
23/07/2009,1.8922
24/07/2009,1.8960
27/07/2009,1.8837
28/07/2009,1.8819
29/07/2009,1.8982
30/07/2009,1.8811
31/07/2009,1.8726
03/08/2009,1.8369
04/08/2009,1.8272
05/08/2009,1.8181
06/08/2009,1.8348
07/08/2009,1.8232
10/08/2009,1.8412
11/08/2009,1.8457
12/08/2009,1.8386
13/08/2009,1.8325
14/08/2009,1.8385
17/08/2009,1.8682
18/08/2009,1.8574
19/08/2009,1.8433
20/08/2009,1.8434
21/08/2009,1.8297
24/08/2009,1.8339
25/08/2009,1.8419
26/08/2009,1.8670
27/08/2009,1.8669
28/08/2009,1.8740
31/08/2009,1.8864
01/09/2009,1.8829
02/09/2009,1.9038
03/09/2009,1.8702
04/09/2009,1.8501
08/09/2009,1.8254
09/09/2009,1.8280
10/09/2009,1.8261
11/09/2009,1.8179
14/09/2009,1.8197
15/09/2009,1.8087
16/09/2009,1.7984
17/09/2009,1.8094
18/09/2009,1.8049
21/09/2009,1.8172
22/09/2009,1.8061
23/09/2009,1.7916
24/09/2009,1.7917
25/09/2009,1.8017
28/09/2009,1.7910
29/09/2009,1.7928
30/09/2009,1.7781
01/10/2009,1.7794
02/10/2009,1.7844
05/10/2009,1.7673
06/10/2009,1.7533
07/10/2009,1.7595
08/10/2009,1.7412
09/10/2009,1.7389
13/10/2009,1.7298
14/10/2009,1.7099
15/10/2009,1.7037
16/10/2009,1.7135
19/10/2009,1.7130
20/10/2009,1.7450
21/10/2009,1.7440
22/10/2009,1.7304
23/10/2009,1.7113
26/10/2009,1.7157
27/10/2009,1.7342
28/10/2009,1.7447
29/10/2009,1.7436
30/10/2009,1.7440
03/11/2009,1.7588
04/11/2009,1.7271
05/11/2009,1.7240
06/11/2009,1.7179
09/11/2009,1.7024
10/11/2009,1.7096
11/11/2009,1.7112
12/11/2009,1.7250
13/11/2009,1.7290
16/11/2009,1.7127
17/11/2009,1.7153
18/11/2009,1.7103
19/11/2009,1.7287
20/11/2009,1.7356
23/11/2009,1.7245
24/11/2009,1.7282
25/11/2009,1.7272
26/11/2009,1.7409
27/11/2009,1.7443
30/11/2009,1.7505
01/12/2009,1.7293
02/12/2009,1.7201
03/12/2009,1.7096
04/12/2009,1.7131
07/12/2009,1.7302
08/12/2009,1.7482
09/12/2009,1.7611
10/12/2009,1.7627
11/12/2009,1.7521
14/12/2009,1.7483
15/12/2009,1.7557
16/12/2009,1.7518
17/12/2009,1.7823
18/12/2009,1.7879
21/12/2009,1.7787
22/12/2009,1.7825
23/12/2009,1.7763
24/12/2009,1.7527
28/12/2009,1.7398
29/12/2009,1.7421
30/12/2009,1.7412
31/12/2009,1.7412
04/01/2010,1.7240
05/01/2010,1.7227
06/01/2010,1.7337
07/01/2010,1.7413
08/01/2010,1.7390
11/01/2010,1.7323
12/01/2010,1.7439
13/01/2010,1.7442
14/01/2010,1.7648
15/01/2010,1.7711
18/01/2010,1.7721
19/01/2010,1.7747
20/01/2010,1.7854
21/01/2010,1.7903
22/01/2010,1.8187
25/01/2010,1.8194
26/01/2010,1.8367
27/01/2010,1.8513
28/01/2010,1.8560
29/01/2010,1.8748
01/02/2010,1.8773
02/02/2010,1.8363
03/02/2010,1.8337
04/02/2010,1.8715
05/02/2010,1.8753
08/02/2010,1.8730
09/02/2010,1.8550
10/02/2010,1.8483
11/02/2010,1.8516
12/02/2010,1.8670
17/02/2010,1.8313
18/02/2010,1.8266
19/02/2010,1.8116
22/02/2010,1.8046
23/02/2010,1.8186
24/02/2010,1.8203
25/02/2010,1.8364
26/02/2010,1.8110
01/03/2010,1.8000
02/03/2010,1.7851
03/03/2010,1.7846
04/03/2010,1.7888
05/03/2010,1.7824
08/03/2010,1.7826
09/03/2010,1.7899
10/03/2010,1.7716
11/03/2010,1.7693
12/03/2010,1.7637
15/03/2010,1.7644
16/03/2010,1.7666
17/03/2010,1.7640
18/03/2010,1.7848
19/03/2010,1.7954
22/03/2010,1.8030
23/03/2010,1.7813
24/03/2010,1.7904
25/03/2010,1.8008
26/03/2010,1.8231
29/03/2010,1.8064
30/03/2010,1.7952
31/03/2010,1.7810
01/04/2010,1.7701
05/04/2010,1.7573
06/04/2010,1.7605
07/04/2010,1.7662
08/04/2010,1.7806
09/04/2010,1.7730
12/04/2010,1.7608
13/04/2010,1.7584
14/04/2010,1.7446
15/04/2010,1.7483
16/04/2010,1.7558
19/04/2010,1.7588
20/04/2010,1.7497
22/04/2010,1.7626
23/04/2010,1.7624
26/04/2010,1.7446
27/04/2010,1.7592
28/04/2010,1.7558
29/04/2010,1.7321
30/04/2010,1.7306
03/05/2010,1.7315
04/05/2010,1.7557
05/05/2010,1.7862
06/05/2010,1.8353
07/05/2010,1.8343
10/05/2010,1.7833
11/05/2010,1.7843
12/05/2010,1.7723
13/05/2010,1.7737
14/05/2010,1.7967
17/05/2010,1.8045
18/05/2010,1.7921
19/05/2010,1.8366
20/05/2010,1.8677
21/05/2010,1.8710
24/05/2010,1.8522
25/05/2010,1.8811
26/05/2010,1.8461
27/05/2010,1.8328
28/05/2010,1.8229
31/05/2010,1.8167
01/06/2010,1.8255
02/06/2010,1.8362
04/06/2010,1.8401
07/06/2010,1.8634
08/06/2010,1.8658
09/06/2010,1.8423
10/06/2010,1.8185
11/06/2010,1.8125
14/06/2010,1.8030
15/06/2010,1.7971
16/06/2010,1.7893
17/06/2010,1.7817
18/06/2010,1.7761
21/06/2010,1.7663
22/06/2010,1.7680
23/06/2010,1.7908
24/06/2010,1.7907
25/06/2010,1.7781
28/06/2010,1.7826
29/06/2010,1.8076
30/06/2010,1.8015
01/07/2010,1.8006
02/07/2010,1.7785
05/07/2010,1.7755
06/07/2010,1.7665
07/07/2010,1.7719
08/07/2010,1.7652
09/07/2010,1.7572
12/07/2010,1.7644
13/07/2010,1.7525
14/07/2010,1.7657
15/07/2010,1.7690
16/07/2010,1.7792
19/07/2010,1.7854
20/07/2010,1.7800
21/07/2010,1.7766
22/07/2010,1.7629
23/07/2010,1.7617
26/07/2010,1.7669
27/07/2010,1.7658
28/07/2010,1.7650
29/07/2010,1.7643
30/07/2010,1.7572
02/08/2010,1.7489
03/08/2010,1.7594
04/08/2010,1.7563
05/08/2010,1.7535
06/08/2010,1.7566
09/08/2010,1.7537
10/08/2010,1.7576
11/08/2010,1.7663
12/08/2010,1.7731
13/08/2010,1.7716
16/08/2010,1.7639
17/08/2010,1.7528
18/08/2010,1.7513
19/08/2010,1.7584
20/08/2010,1.7597
23/08/2010,1.7587
24/08/2010,1.7727
25/08/2010,1.7668
26/08/2010,1.7596
27/08/2010,1.7544
30/08/2010,1.7591
31/08/2010,1.7560
01/09/2010,1.7441
02/09/2010,1.7367
03/09/2010,1.7281
06/09/2010,1.7259
08/09/2010,1.7231
09/09/2010,1.7238
10/09/2010,1.7186
13/09/2010,1.7174
14/09/2010,1.7076
15/09/2010,1.7169
16/09/2010,1.7184
17/09/2010,1.7166
20/09/2010,1.7216
21/09/2010,1.7255
22/09/2010,1.7184
23/09/2010,1.7194
24/09/2010,1.7120
27/09/2010,1.7100
28/09/2010,1.7093
29/09/2010,1.7053
30/09/2010,1.6942
01/10/2010,1.6812
04/10/2010,1.6882
05/10/2010,1.6808
06/10/2010,1.6758
07/10/2010,1.6777
08/10/2010,1.6804
11/10/2010,1.6648
13/10/2010,1.6554
14/10/2010,1.6596
15/10/2010,1.6604
18/10/2010,1.6686
19/10/2010,1.6868
20/10/2010,1.6735
21/10/2010,1.6897
22/10/2010,1.6997
25/10/2010,1.7026
26/10/2010,1.7045
27/10/2010,1.7077
28/10/2010,1.7112
29/10/2010,1.7014
01/11/2010,1.7044
03/11/2010,1.6937
04/11/2010,1.6819
05/11/2010,1.6801
08/11/2010,1.6970
09/11/2010,1.6970
10/11/2010,1.7070
11/11/2010,1.7178
12/11/2010,1.7198
16/11/2010,1.7295
17/11/2010,1.7298
18/11/2010,1.7143
19/11/2010,1.7189
22/11/2010,1.7235
23/11/2010,1.7336
24/11/2010,1.7247
25/11/2010,1.7206
26/11/2010,1.7298
29/11/2010,1.7271
30/11/2010,1.7161
01/12/2010,1.7052
02/12/2010,1.7029
03/12/2010,1.6917
06/12/2010,1.6836
07/12/2010,1.6739
08/12/2010,1.6892
09/12/2010,1.7024
10/12/2010,1.7117
13/12/2010,1.7027
14/12/2010,1.6949
15/12/2010,1.6988
16/12/2010,1.7028
17/12/2010,1.7098
20/12/2010,1.7082
21/12/2010,1.6974
22/12/2010,1.6946
23/12/2010,1.6984
24/12/2010,1.6903
27/12/2010,1.6922
28/12/2010,1.6866
29/12/2010,1.6788
30/12/2010,1.6662
31/12/2010,1.6662
03/01/2011,1.6510
04/01/2011,1.6556
05/01/2011,1.6713
06/01/2011,1.6857
07/01/2011,1.6861
10/01/2011,1.6912
11/01/2011,1.6887
12/01/2011,1.6773
13/01/2011,1.6701
14/01/2011,1.6843
17/01/2011,1.6818
18/01/2011,1.6745
19/01/2011,1.6714
20/01/2011,1.6715
21/01/2011,1.6723
24/01/2011,1.6731
25/01/2011,1.6745
26/01/2011,1.6692
27/01/2011,1.6720
28/01/2011,1.6782
31/01/2011,1.6734
01/02/2011,1.6631
02/02/2011,1.6671
03/02/2011,1.6697
04/02/2011,1.6738
07/02/2011,1.6776
08/02/2011,1.6711
09/02/2011,1.6643
10/02/2011,1.6680
11/02/2011,1.6679
14/02/2011,1.6681
15/02/2011,1.6682
16/02/2011,1.6704
17/02/2011,1.6661
18/02/2011,1.6677
21/02/2011,1.6667
22/02/2011,1.6694
23/02/2011,1.6720
24/02/2011,1.6649
25/02/2011,1.6625
28/02/2011,1.6612
01/03/2011,1.6627
02/03/2011,1.6610
03/03/2011,1.6545
04/03/2011,1.6462
09/03/2011,1.6559
10/03/2011,1.6612
11/03/2011,1.6649
14/03/2011,1.6631
15/03/2011,1.6692
16/03/2011,1.6674
17/03/2011,1.6757
18/03/2011,1.6720
21/03/2011,1.6652
22/03/2011,1.6638
23/03/2011,1.6602
24/03/2011,1.6593
25/03/2011,1.6581
28/03/2011,1.6614
29/03/2011,1.6546
30/03/2011,1.6360
31/03/2011,1.6287
01/04/2011,1.6194
04/04/2011,1.6110
05/04/2011,1.6087
06/04/2011,1.6097
07/04/2011,1.5927
08/04/2011,1.5762
11/04/2011,1.5805
12/04/2011,1.5870
13/04/2011,1.5864
14/04/2011,1.5842
15/04/2011,1.5776
18/04/2011,1.5912
19/04/2011,1.5792
20/04/2011,1.5722
25/04/2011,1.5720
26/04/2011,1.5654
27/04/2011,1.5705
28/04/2011,1.5853
29/04/2011,1.5733
02/05/2011,1.5747
03/05/2011,1.5890
04/05/2011,1.6030
05/05/2011,1.6219
06/05/2011,1.6111
09/05/2011,1.6199
10/05/2011,1.6069
11/05/2011,1.6178
12/05/2011,1.6207
13/05/2011,1.6328
16/05/2011,1.6317
17/05/2011,1.6290
18/05/2011,1.6166
19/05/2011,1.6165
20/05/2011,1.6169
23/05/2011,1.6339
24/05/2011,1.6256
25/05/2011,1.6297
26/05/2011,1.6196
27/05/2011,1.6038
30/05/2011,1.5958
31/05/2011,1.5799
01/06/2011,1.5878
02/06/2011,1.5805
03/06/2011,1.5744
06/06/2011,1.5810
07/06/2011,1.5764
08/06/2011,1.5820
09/06/2011,1.5877
10/06/2011,1.5938
13/06/2011,1.5888
14/06/2011,1.5821
15/06/2011,1.5960
16/06/2011,1.6108
17/06/2011,1.5979
20/06/2011,1.5969
21/06/2011,1.5910
22/06/2011,1.5877
24/06/2011,1.5988
27/06/2011,1.5969
28/06/2011,1.5833
29/06/2011,1.5730
30/06/2011,1.5611
01/07/2011,1.5599
04/07/2011,1.5580
05/07/2011,1.5637
06/07/2011,1.5662
07/07/2011,1.5581
